iter	Passed	Remaining
594	750049	510537
595	751241	509231
596	752441	507929
597	754007	506874
598	755570	505815
599	756965	504643
600	758193	503359
601	759519	502140
602	760675	500809
603	761882	499512
604	763123	498237
605	764348	496952
606	765605	495688
607	766829	494403
608	768259	493250
609	769405	491915
610	770643	490638
611	771899	489373
612	773104	488077
613	774447	486867
614	775736	485623
615	776955	484336
616	778205	483067
617	779425	481781
618	780695	480524
619	782033	479310
620	783355	478086
621	784647	476843
622	785926	475592
623	787234	474359
624	788528	473117
625	789793	471857
626	791018	470573
627	792361	469360
628	793455	468000
629	794617	466680
630	795704	465316
631	796887	464010
632	798028	462679
633	799251	461397
634	800395	460070
635	801525	458734
636	802608	457373
637	803795	456072
638	805042	454804
639	806245	453512
640	807476	452237
641	808832	451031
642	810022	449732
643	811247	448453
644	812251	447053
645	813414	445740
646	814341	444300
647	815571	443026
648	816731	441714
649	817894	440404
650	818930	439027
651	819962	437648
652	821131	436344
653	822439	435113
654	823993	434011
655	825338	432799
656	826670	431580
657	827876	430294
658	828498	428707
659	829775	427459
660	831078	426226
661	832396	425000
662	833695	423763
663	835014	422537
664	836315	421301
665	837633	420074
666	838948	418845
667	840240	417604
668	841479	416337
669	842700	415061
670	844040	413844
671	845146	412511
672	846381	411243
673	847565	409950
674	849022	408788
